ID,Lat,Lon,SST,SSTd,hurMaxWind,hurMinPressure,hurRadius,Next Lat,Next Lon,Next hurMaxWind,Next hurMinPressure,Next hurRadius
AL182023 - 0928 06h,15.6,-44.5,286.16,-5.9,35,1005,60,16.9,-45.1,35,1004,50
AL182023 - 0928 12h,16.9,-45.1,283.68,-5.6,35,1004,50,17.7,-45.8,35,1004,50
AL182023 - 0928 18h,17.7,-45.8,285.59,-5.6,35,1004,50,18.2,-46.2,40,1002,50
AL182023 - 0929 00h,18.2,-46.2,288.23,-5.5,40,1002,50,18.6,-46.4,45,999,40
AL182023 - 0929 06h,18.6,-46.4,288.33,-5.7,45,999,40,19.1,-46.7,45,999,40
AL182023 - 0929 12h,19.1,-46.7,288.18,-5.8,45,999,40,19.8,-47.5,45,1000,40
AL182023 - 0929 18h,19.8,-47.5,272.5,-3.5,45,1000,40,20.2,-48.4,45,1000,40
AL182023 - 0930 00h,20.2,-48.4,285.9,10.0,45,1000,40,20.5,-49.1,45,1000,40
AL182023 - 0930 06h,20.5,-49.1,274.75,-1.4,45,1000,40,21.0,-50.0,40,1002,30
AL182023 - 0930 12h,21.0,-50.0,286.72,-6.1,40,1002,30,22.1,-51.0,40,1004,30
AL182023 - 0930 18h,22.1,-51.0,290.2,-6.4,40,1004,30,23.0,-52.2,35,1005,30
AL182023 - 1001 00h,23.0,-52.2,290.52,-11.4,35,1005,30,23.8,-53.3,35,1005,30
AL182023 - 1001 06h,23.8,-53.3,292.55,-9.3,35,1005,30,24.8,-54.4,35,1006,40
AL182023 - 1001 12h,24.8,-54.4,297.99,-3.8,35,1006,40,25.8,-55.3,30,1007,40
AL182023 - 1001 18h,25.8,-55.3,273.46,-2.5,30,1007,40,26.7,-55.6,30,1008,50
AL192023 - 1010 18h,9.6,-30.2,287.65,-6.4,30,1007,80,9.8,-31.4,35,1006,80
AL192023 - 1011 00h,9.8,-31.4,290.98,-5.5,35,1006,80,10.1,-32.6,35,1006,80
AL192023 - 1011 06h,10.1,-32.6,286.99,-6.1,35,1006,80,10.7,-33.7,35,1006,80
