ID,Lat,Lon,SST,SSTd,hurMaxWind,hurMinPressure,hurRadius,Next Lat,Next Lon,Next hurMaxWind,Next hurMinPressure,Next hurRadius
AL022021 - 0613 18h,31.9,-78.1,287.47,-4.2,20,1008,60,32.5,-77.1,20,1007,40
AL022021 - 0614 00h,32.5,-77.1,290.37,-4.6,20,1007,40,33.2,-75.9,25,1006,40
AL022021 - 0614 06h,33.2,-75.9,292.58,-7.1,25,1006,40,34.0,-74.5,30,1005,35
AL022021 - 0614 12h,34.0,-74.5,271.91,-1.3,30,1005,35,34.9,-72.8,35,1003,35
AL022021 - 0614 18h,34.9,-72.8,288.69,-10.3,35,1003,35,36.0,-70.8,40,1000,35
AL022021 - 0615 00h,36.0,-70.8,281.68,8.7,40,1000,35,37.6,-67.8,50,996,30
AL022021 - 0615 06h,37.6,-67.8,287.59,-3.1,50,996,30,39.4,-64.0,55,992,30
AL022021 - 0615 12h,39.4,-64.0,294.04,-1.0,55,992,30,40.9,-60.8,45,997,40
AL022021 - 0615 18h,40.9,-60.8,296.18,0.0,45,997,40,42.5,-57.9,35,1002,60
AL032021 - 0617 18h,22.5,-92.2,300.39,-1.1,25,1008,150,23.5,-91.8,30,1007,140
AL032021 - 0618 00h,23.5,-91.8,299.34,-2.1,30,1007,140,24.6,-91.4,35,1007,130
AL032021 - 0618 06h,24.6,-91.4,298.94,-2.0,35,1007,130,25.9,-91.2,35,1007,120
AL032021 - 0618 12h,25.9,-91.2,299.34,-1.7,35,1007,120,27.2,-91.1,40,1006,120
AL032021 - 0618 18h,27.2,-91.1,291.6,-9.7,40,1006,120,28.4,-91.2,40,1005,120
AL032021 - 0619 00h,28.4,-91.2,297.38,-4.0,40,1005,120,29.2,-91.0,40,1003,120
AL032021 - 0619 04h,29.2,-91.0,282.54,7.1,40,1003,120,29.5,-90.8,40,1003,120
AL042021 - 0627 18h,29.8,-72.8,293.14,-4.1,30,1013,40,30.1,-74.5,30,1013,40
AL042021 - 0628 00h,30.1,-74.5,293.69,-6.1,30,1013,40,30.7,-76.1,35,1011,40
AL042021 - 0628 06h,30.7,-76.1,299.79,-0.2,35,1011,40,31.5,-77.6,35,1011,30
AL042021 - 0628 12h,31.5,-77.6,302.58,0.8,35,1011,30,32.0,-79.5,40,1009,30
AL042021 - 0628 18h,32.0,-79.5,296.94,-3.2,40,1009,30,32.3,-80.5,35,1010,30
AL042021 - 0628 23h,32.3,-80.5,296.94,-3.2,35,1010,30,32.4,-80.7,30,1011,30
AL052021 - 0630 18h,9.4,-42.8,295.4,-5.0,30,1008,60,9.3,-45.3,35,1007,60
AL052021 - 0701 00h,9.3,-45.3,293.82,-6.9,35,1007,60,9.4,-47.7,35,1006,50
AL052021 - 0701 06h,9.4,-47.7,287.46,-5.3,35,1006,50,9.9,-50.2,40,1005,50
AL052021 - 0701 12h,9.9,-50.2,286.41,-5.1,40,1005,50,10.7,-52.6,45,1004,50
AL052021 - 0701 18h,10.7,-52.6,289.46,-5.5,45,1004,50,11.5,-55.0,50,1002,40
AL052021 - 0702 00h,11.5,-55.0,300.88,0.0,50,1002,40,12.3,-57.3,55,1000,30
AL052021 - 0702 06h,12.3,-57.3,300.12,-0.6,55,1000,30,13.0,-59.8,65,995,20
AL052021 - 0702 12h,13.0,-59.8,286.79,-5.0,65,995,20,13.8,-62.4,75,991,15
AL052021 - 0702 18h,13.8,-62.4,286.79,-4.7,75,991,15,14.7,-65.1,70,995,15
AL052021 - 0703 00h,14.7,-65.1,300.95,-0.1,70,995,15,15.7,-67.9,65,998,15
AL052021 - 0703 06h,15.7,-67.9,300.88,-0.2,65,998,15,16.6,-70.3,60,1000,15
AL052021 - 0703 12h,16.6,-70.3,294.13,-5.5,60,1000,15,17.2,-72.5,60,1002,20
AL052021 - 0703 18h,17.2,-72.5,289.65,-5.3,60,1002,20,17.6,-74.4,55,1004,20
AL052021 - 0704 00h,17.6,-74.4,298.42,-3.1,55,1004,20,18.0,-75.5,55,1006,20
AL052021 - 0704 06h,18.0,-75.5,295.26,-5.5,55,1006,20,18.5,-76.5,50,1007,20
AL052021 - 0704 12h,18.5,-76.5,295.26,-5.5,50,1007,20,19.3,-77.6,50,1007,20
AL052021 - 0704 18h,19.3,-77.6,292.35,-6.2,50,1007,20,20.1,-78.6,55,1005,20
AL052021 - 0705 00h,20.1,-78.6,291.51,-6.6,55,1005,20,20.7,-79.6,55,1005,20
AL052021 - 0705 06h,20.7,-79.6,291.24,-6.9,55,1005,20,21.3,-80.7,55,1005,20
AL052021 - 0705 12h,21.3,-80.7,293.31,-6.9,55,1005,20,22.1,-81.5,55,1005,20
AL052021 - 0705 18h,22.1,-81.5,292.9,-7.3,55,1005,20,22.2,-81.6,55,1005,20
AL052021 - 0705 18h,22.2,-81.6,292.9,-7.3,55,1005,20,22.9,-82.0,50,1005,20
AL062021 - 0809 18h,13.9,-58.7,288.59,-6.1,30,1011,70,14.6,-60.1,30,1011,60
AL062021 - 0810 00h,14.6,-60.1,277.23,1.5,30,1011,60,15.3,-61.6,30,1011,60
AL062021 - 0810 06h,15.3,-61.6,292.25,-9.5,30,1011,60,16.0,-63.1,30,1011,50
AL062021 - 0810 12h,16.0,-63.1,302.05,0.4,30,1011,50,16.7,-64.6,30,1011,50
AL062021 - 0810 18h,16.7,-64.6,294.23,-5.9,30,1011,50,17.3,-66.1,35,1009,40
AL062021 - 0811 00h,17.3,-66.1,287.05,10.8,35,1009,40,17.7,-67.6,35,1007,40
AL062021 - 0811 06h,17.7,-67.6,292.95,-6.1,35,1007,40,18.0,-69.0,40,1005,40
AL062021 - 0811 12h,18.0,-69.0,292.96,-6.2,40,1005,40,18.4,-70.1,40,1005,40
AL062021 - 0811 17h,18.4,-70.1,292.92,-6.3,40,1005,40,18.5,-70.4,35,1006,40
AL062021 - 0811 18h,18.5,-70.4,292.92,-6.3,35,1006,40,19.2,-71.7,30,1009,40
AL072021 - 0813 06h,15.0,-46.7,299.76,-0.7,30,1010,20,15.2,-48.7,30,1010,20
AL072021 - 0813 12h,15.2,-48.7,300.4,-0.5,30,1010,20,15.3,-50.8,30,1010,20
AL072021 - 0813 18h,15.3,-50.8,284.3,9.1,30,1010,20,15.4,-52.8,30,1010,20
AL072021 - 0814 00h,15.4,-52.8,296.89,-3.9,30,1010,20,15.7,-54.8,30,1010,20
AL072021 - 0814 06h,15.7,-54.8,299.63,-1.7,30,1010,20,16.1,-57.2,35,1009,30
AL072021 - 0814 12h,16.1,-57.2,283.97,8.1,35,1009,30,16.2,-59.5,35,1009,30
AL072021 - 0814 18h,16.2,-59.5,285.15,-5.8,35,1009,30,16.5,-61.7,30,1010,40
AL072021 - 0815 00h,16.5,-61.7,279.73,3.6,30,1010,40,16.7,-63.7,30,1010,40
AL072021 - 0815 06h,16.7,-63.7,287.43,-6.0,30,1010,40,16.9,-65.4,30,1010,40
AL072021 - 0815 12h,16.9,-65.4,286.99,-5.8,30,1010,40,17.0,-66.7,30,1011,40
AL072021 - 0815 18h,17.0,-66.7,288.86,-6.4,30,1011,40,17.1,-68.1,30,1011,30
AL072021 - 0816 00h,17.1,-68.1,295.24,-6.9,30,1011,30,17.2,-69.6,30,1010,30
AL072021 - 0816 06h,17.2,-69.6,288.63,-6.2,30,1010,30,17.5,-70.8,35,1007,20
AL072021 - 0816 12h,17.5,-70.8,282.65,-4.5,35,1007,20,17.7,-71.4,35,1007,20
AL072021 - 0816 16h,17.7,-71.4,282.65,-4.5,35,1007,20,17.8,-71.7,35,1007,20
AL072021 - 0816 18h,17.8,-71.7,286.91,-6.9,35,1007,20,17.9,-73.2,35,1006,20
AL072021 - 0817 00h,17.9,-73.2,289.68,-6.7,35,1006,20,18.0,-74.8,40,1006,25
AL072021 - 0817 06h,18.0,-74.8,288.02,-6.9,40,1006,25,18.2,-76.1,45,1005,25
AL072021 - 0817 12h,18.2,-76.1,286.46,-6.8,45,1005,25,18.2,-76.6,50,1004,30
AL082021 - 0815 00h,35.8,-63.4,300.17,-0.4,25,1014,30,35.4,-63.1,25,1012,20
AL082021 - 0815 06h,35.4,-63.1,299.37,-1.0,25,1012,20,34.8,-62.8,25,1012,20
AL082021 - 0815 12h,34.8,-62.8,299.37,-1.0,25,1012,20,34.1,-62.7,25,1011,20
AL082021 - 0815 18h,34.1,-62.7,294.06,-6.3,25,1011,20,33.4,-62.7,30,1010,25
AL082021 - 0816 00h,33.4,-62.7,297.06,-3.9,30,1010,25,32.5,-62.7,30,1010,25
AL082021 - 0816 06h,32.5,-62.7,299.44,-1.9,30,1010,25,31.6,-62.7,30,1010,25
AL082021 - 0816 12h,31.6,-62.7,299.44,-1.9,30,1010,25,31.1,-62.9,35,1009,25
AL082021 - 0816 18h,31.1,-62.9,295.0,-6.2,35,1009,25,30.8,-63.1,40,1008,25
AL082021 - 0817 00h,30.8,-63.1,289.17,-5.8,40,1008,25,30.6,-63.3,45,1004,25
AL082021 - 0817 06h,30.6,-63.3,289.17,-5.8,45,1004,25,30.4,-63.6,45,1004,25
AL082021 - 0817 12h,30.4,-63.6,293.43,-6.6,45,1004,25,30.3,-63.9,55,1000,25
AL082021 - 0817 18h,30.3,-63.9,293.43,-6.6,55,1000,25,30.2,-64.5,55,998,20
AL082021 - 0818 00h,30.2,-64.5,271.68,-4.1,55,998,20,30.1,-65.3,55,998,20
AL082021 - 0818 06h,30.1,-65.3,291.09,-5.8,55,998,20,30.0,-66.2,55,998,20
AL082021 - 0818 12h,30.0,-66.2,291.21,-6.6,55,998,20,29.9,-67.1,60,995,20
AL082021 - 0818 18h,29.9,-67.1,289.51,-6.7,60,995,20,29.7,-68.0,60,995,25
AL082021 - 0819 00h,29.7,-68.0,300.37,-1.2,60,995,25,29.5,-69.0,60,995,25
AL082021 - 0819 06h,29.5,-69.0,296.13,-5.7,60,995,25,29.5,-70.0,60,995,25
AL082021 - 0819 12h,29.5,-70.0,271.81,-5.1,60,995,25,29.6,-71.0,55,999,25
AL082021 - 0819 18h,29.6,-71.0,292.63,-6.7,55,999,25,29.7,-72.0,55,997,30
AL082021 - 0820 00h,29.7,-72.0,289.38,-6.5,55,997,30,29.9,-72.9,55,995,30
AL082021 - 0820 06h,29.9,-72.9,288.62,-6.7,55,995,30,30.1,-73.6,55,995,30
AL082021 - 0820 12h,30.1,-73.6,289.71,-6.7,55,995,30,30.8,-73.8,60,994,30
AL082021 - 0820 18h,30.8,-73.8,290.57,-6.4,60,994,30,31.6,-73.7,60,993,30
AL082021 - 0821 00h,31.6,-73.7,299.0,-2.5,60,993,30,32.5,-73.4,60,993,30
AL082021 - 0821 06h,32.5,-73.4,291.9,-9.2,60,993,30,33.6,-72.7,65,991,30
AL082021 - 0821 12h,33.6,-72.7,291.73,-9.9,65,991,30,35.4,-71.8,65,990,30
AL082021 - 0821 18h,35.4,-71.8,292.24,-5.5,65,990,30,37.6,-70.9,65,988,25
AL082021 - 0822 00h,37.6,-70.9,290.19,-4.0,65,988,25,39.4,-71.0,65,986,25
AL082021 - 0822 06h,39.4,-71.0,288.14,-10.8,65,986,25,40.7,-71.3,55,986,25
AL082021 - 0822 12h,40.7,-71.3,292.94,-2.6,55,986,25,41.2,-71.6,55,987,25
AL092021 - 0826 12h,16.5,-78.9,283.91,-4.33,30,1006,60,17.4,-79.5,35,1006,50
AL092021 - 0826 18h,17.4,-79.5,284.03,-4.52,35,1006,50,18.3,-80.2,40,1004,50
AL092021 - 0827 00h,18.3,-80.2,289.55,-6.3,40,1004,50,19.4,-80.9,45,1002,40
AL092021 - 0827 06h,19.4,-80.9,275.04,-2.2,45,1002,40,20.4,-81.7,55,996,30
AL092021 - 0827 12h,20.4,-81.7,291.47,-6.5,55,996,30,21.5,-82.6,70,987,20
AL092021 - 0827 18h,21.5,-82.6,292.1,-5.8,70,987,20,22.4,-83.2,70,988,20
AL092021 - 0827 23h,22.4,-83.2,292.1,-5.8,70,988,20,22.6,-83.5,70,989,20
AL092021 - 0828 00h,22.6,-83.5,288.12,-6.7,70,989,20,23.5,-84.7,70,987,20
AL092021 - 0828 06h,23.5,-84.7,272.79,-3.8,70,987,20,24.4,-85.7,70,986,20
AL092021 - 0828 12h,24.4,-85.7,291.69,-10.5,70,986,20,25.6,-86.6,80,976,20
AL092021 - 0828 18h,25.6,-86.6,289.33,-7.0,80,976,20,26.7,-87.6,90,967,20
AL092021 - 0829 00h,26.7,-87.6,285.17,-6.9,90,967,20,27.6,-88.7,115,950,15
AL092021 - 0829 06h,27.6,-88.7,286.72,-6.7,115,950,15,28.5,-89.6,130,929,10
AL092021 - 0829 12h,28.5,-89.6,286.75,-6.6,130,929,10,29.1,-90.2,130,931,10
AL092021 - 0829 16h,29.1,-90.2,286.54,-5.8,130,931,10,29.2,-90.4,125,932,10
AL092021 - 0829 18h,29.2,-90.4,286.54,-5.8,125,932,10,29.9,-90.6,105,944,10
AL102021 - 0827 12h,13.1,-47.3,296.63,-5.2,25,1009,70,13.3,-48.4,25,1009,60
AL102021 - 0827 18h,13.3,-48.4,294.55,-5.08,25,1009,60,13.5,-49.5,25,1009,50
AL102021 - 0828 00h,13.5,-49.5,292.76,-5.4,25,1009,50,13.7,-49.8,30,1008,40
AL102021 - 0828 06h,13.7,-49.8,292.76,-5.4,30,1008,40,14.5,-50.0,30,1008,40
AL102021 - 0828 12h,14.5,-50.0,292.76,-5.4,30,1008,40,15.2,-50.0,30,1008,40
AL102021 - 0828 18h,15.2,-50.0,290.46,-10.6,30,1008,40,16.2,-49.9,30,1008,40
AL102021 - 0829 00h,16.2,-49.9,296.87,-4.6,30,1008,40,17.3,-50.0,30,1008,35
AL102021 - 0829 06h,17.3,-50.0,280.02,4.4,30,1008,35,18.4,-50.2,30,1008,35
AL102021 - 0829 12h,18.4,-50.2,295.93,-5.0,30,1008,35,19.2,-50.3,30,1008,35
AL102021 - 0829 18h,19.2,-50.3,281.75,6.5,30,1008,35,19.8,-50.5,30,1008,30
AL102021 - 0830 00h,19.8,-50.5,299.63,-1.2,30,1008,30,20.5,-50.6,35,1006,30
AL102021 - 0830 06h,20.5,-50.6,300.1,-0.9,35,1006,30,21.3,-50.8,40,1004,25
AL102021 - 0830 12h,21.3,-50.8,301.14,-0.1,40,1004,25,22.1,-50.9,35,1006,30
AL102021 - 0830 18h,22.1,-50.9,295.47,-5.6,35,1006,30,22.6,-50.9,35,1006,35
AL102021 - 0831 00h,22.6,-50.9,301.42,0.2,35,1006,35,22.8,-50.9,35,1006,40
AL102021 - 0831 06h,22.8,-50.9,301.42,0.2,35,1006,40,23.2,-50.9,30,1007,40
AL102021 - 0831 12h,23.2,-50.9,301.42,0.2,30,1007,40,23.9,-50.9,30,1007,40
AL102021 - 0831 18h,23.9,-50.9,296.75,-5.4,30,1007,40,24.6,-51.2,30,1007,40
AL102021 - 0901 00h,24.6,-51.2,301.23,0.1,30,1007,40,25.3,-51.5,30,1008,45
AL102021 - 0901 06h,25.3,-51.5,294.24,-7.3,30,1008,45,26.6,-52.3,30,1009,45
AL112021 - 0828 12h,32.1,-51.7,296.83,-5.3,25,1010,50,32.2,-51.0,30,1008,50
AL112021 - 0828 18h,32.2,-51.0,296.59,-4.2,30,1008,50,32.6,-50.1,30,1006,50
AL112021 - 0829 00h,32.6,-50.1,294.48,-5.8,30,1006,50,33.5,-49.3,35,1003,40
AL112021 - 0829 06h,33.5,-49.3,299.17,-0.9,35,1003,40,34.5,-47.8,45,997,30
AL112021 - 0829 12h,34.5,-47.8,297.91,-2.1,45,997,30,35.9,-45.7,50,995,25
AL112021 - 0829 18h,35.9,-45.7,294.19,-5.3,50,995,25,37.1,-42.6,50,994,20
AL112021 - 0830 00h,37.1,-42.6,298.86,-0.1,50,994,20,38.9,-40.0,50,993,20
AL112021 - 0830 06h,38.9,-40.0,290.59,-6.1,50,993,20,40.6,-37.9,50,993,25
AL112021 - 0830 12h,40.6,-37.9,281.66,11.5,50,993,25,42.5,-36.0,45,995,30
AL112021 - 0830 18h,42.5,-36.0,291.65,-4.2,45,995,30,44.8,-35.1,45,997,40
AL112021 - 0831 00h,44.8,-35.1,293.27,-0.2,45,997,40,47.5,-34.5,45,999,60
AL122021 - 0831 18h,11.5,-20.6,292.45,-5.1,30,1006,50,11.9,-22.5,35,1005,45
AL122021 - 0901 00h,11.9,-22.5,291.69,-9.3,35,1005,45,12.2,-24.5,40,1004,40
AL122021 - 0901 06h,12.2,-24.5,279.88,4.3,40,1004,40,12.4,-26.5,45,1003,30
AL122021 - 0901 12h,12.4,-26.5,272.8,-2.5,45,1003,30,12.5,-28.4,55,999,20
AL122021 - 0901 18h,12.5,-28.4,283.06,-5.0,55,999,20,12.7,-30.0,60,996,20
AL122021 - 0902 00h,12.7,-30.0,276.65,-1.64,60,996,20,13.0,-31.6,65,991,15
AL122021 - 0902 06h,13.0,-31.6,273.93,-1.2,65,991,15,13.3,-33.3,70,987,15
AL122021 - 0902 12h,13.3,-33.3,284.22,-5.0,70,987,15,13.6,-35.0,70,987,20
AL122021 - 0902 18h,13.6,-35.0,286.17,-4.9,70,987,20,13.9,-36.7,75,985,20
AL122021 - 0903 00h,13.9,-36.7,272.95,-2.0,75,985,20,14.1,-38.4,80,983,20
AL122021 - 0903 06h,14.1,-38.4,284.96,-4.8,80,983,20,14.4,-40.0,80,980,20
AL122021 - 0903 12h,14.4,-40.0,285.32,-5.2,80,980,20,14.7,-41.4,90,973,20
AL122021 - 0903 18h,14.7,-41.4,283.42,-4.6,90,973,20,15.2,-42.7,100,964,20
AL122021 - 0904 00h,15.2,-42.7,290.6,-10.1,100,964,20,15.8,-44.0,110,956,20
AL122021 - 0904 06h,15.8,-44.0,294.1,-4.6,110,956,20,16.4,-45.3,110,956,25
AL122021 - 0904 12h,16.4,-45.3,292.21,-4.7,110,956,25,17.0,-46.5,105,958,30
AL122021 - 0904 18h,17.0,-46.5,296.35,-4.8,105,958,30,17.7,-47.5,105,958,30
AL122021 - 0905 00h,17.7,-47.5,276.21,1.3,105,958,30,18.4,-48.5,105,958,30
AL122021 - 0905 06h,18.4,-48.5,276.21,1.3,105,958,30,19.2,-49.4,110,953,30
AL122021 - 0905 12h,19.2,-49.4,279.4,-4.55,110,953,30,20.0,-50.3,110,953,30
AL122021 - 0905 18h,20.0,-50.3,290.99,-5.7,110,953,30,20.7,-51.2,110,953,40
AL122021 - 0906 00h,20.7,-51.2,293.96,-5.7,110,953,40,21.2,-52.0,105,956,40
AL122021 - 0906 06h,21.2,-52.0,294.05,-5.8,105,956,40,21.6,-52.7,105,956,40
AL122021 - 0906 12h,21.6,-52.7,294.49,-5.8,105,956,40,22.1,-53.5,105,956,40
AL122021 - 0906 18h,22.1,-53.5,295.75,-6.0,105,956,40,22.7,-54.2,105,956,40
AL122021 - 0907 00h,22.7,-54.2,295.43,-5.9,105,956,40,23.3,-54.8,100,960,40
AL122021 - 0907 06h,23.3,-54.8,295.51,-6.1,100,960,40,24.0,-55.4,95,963,40
AL122021 - 0907 12h,24.0,-55.4,293.57,-6.2,95,963,40,24.7,-56.0,95,965,40
AL122021 - 0907 18h,24.7,-56.0,288.93,-6.1,95,965,40,25.4,-56.5,95,966,40
AL122021 - 0908 00h,25.4,-56.5,292.87,-7.0,95,966,40,26.2,-57.1,95,966,50
AL122021 - 0908 06h,26.2,-57.1,295.63,-6.0,95,966,50,27.2,-57.9,90,966,50
AL122021 - 0908 12h,27.2,-57.9,296.04,-5.9,90,966,50,28.2,-58.9,90,967,60
AL122021 - 0908 18h,28.2,-58.9,295.88,-6.7,90,967,60,29.1,-59.9,85,968,60
AL122021 - 0909 00h,29.1,-59.9,300.97,0.5,85,968,60,30.1,-60.8,80,968,60
AL122021 - 0909 06h,30.1,-60.8,291.6,-9.5,80,968,60,31.3,-61.5,80,966,60
AL122021 - 0909 12h,31.3,-61.5,293.18,-5.4,80,966,60,32.8,-62.1,80,966,60
AL122021 - 0909 18h,32.8,-62.1,288.73,-4.0,80,966,60,34.4,-62.3,80,966,60
AL122021 - 0910 00h,34.4,-62.3,299.5,0.0,80,966,60,36.5,-62.2,75,964,60
AL122021 - 0910 06h,36.5,-62.2,299.44,0.0,75,964,60,38.9,-61.1,70,961,60
AL122021 - 0910 12h,38.9,-61.1,279.65,4.4,70,961,60,41.9,-59.5,70,958,70
AL122021 - 0910 18h,41.9,-59.5,294.21,0.6,70,958,70,45.1,-56.6,70,958,70
AL122021 - 0911 00h,45.1,-56.6,289.07,-0.8,70,958,70,47.3,-54.6,70,958,70
AL132021 - 0908 18h,28.4,-86.8,281.69,-6.0,35,1006,30,29.5,-85.4,45,1001,30
AL142021 - 0912 12h,21.0,-95.2,287.84,-6.9,35,1008,80,22.4,-95.6,35,1008,80
AL142021 - 0912 18h,22.4,-95.6,285.36,-6.5,35,1008,80,23.7,-96.1,40,1007,50
AL142021 - 0913 00h,23.7,-96.1,293.44,-9.4,40,1007,50,24.8,-96.5,50,1001,30
AL142021 - 0913 06h,24.8,-96.5,293.9,-6.8,50,1001,30,25.9,-96.7,50,1000,30
AL142021 - 0913 12h,25.9,-96.7,275.42,-1.3,50,1000,30,27.0,-96.6,55,998,30
AL142021 - 0913 18h,27.0,-96.6,296.34,-6.1,55,998,30,28.0,-96.2,65,988,25
AL142021 - 0914 00h,28.0,-96.2,301.35,-0.3,65,988,25,28.7,-95.7,65,991,20
AL152021 - 0916 06h,30.4,-74.3,301.07,-0.2,30,1011,120,31.4,-74.8,30,1011,120
AL152021 - 0916 12h,31.4,-74.8,301.29,-0.2,30,1011,120,32.3,-75.2,30,1011,120
AL152021 - 0916 18h,32.3,-75.2,297.65,-4.3,30,1011,120,33.3,-75.3,30,1011,120
AL152021 - 0917 00h,33.3,-75.3,300.99,-0.2,30,1011,120,34.1,-74.9,30,1011,120
AL152021 - 0917 06h,34.1,-74.9,295.25,-6.5,30,1011,120,35.0,-73.9,30,1011,100
AL152021 - 0917 12h,35.0,-73.9,294.8,-5.8,30,1011,100,35.9,-72.7,35,1010,80
AL152021 - 0917 18h,35.9,-72.7,296.9,-4.7,35,1010,80,36.8,-71.4,40,1008,90
AL152021 - 0918 00h,36.8,-71.4,290.87,-4.17,40,1008,90,37.6,-70.1,40,1005,90
AL152021 - 0918 06h,37.6,-70.1,290.45,-4.32,40,1005,90,38.3,-68.3,40,1002,90
AL152021 - 0918 12h,38.3,-68.3,291.59,-5.16,40,1002,90,38.7,-66.2,40,1001,120
AL152021 - 0918 18h,38.7,-66.2,291.49,-7.4,40,1001,120,39.2,-64.1,45,999,120
AL152021 - 0919 00h,39.2,-64.1,297.73,-1.7,45,999,120,39.9,-61.9,45,997,120
AL152021 - 0919 06h,39.9,-61.9,292.14,-6.2,45,997,120,41.1,-59.4,45,995,110
AL152021 - 0919 12h,41.1,-59.4,293.16,-6.6,45,995,110,42.7,-56.6,50,992,90
AL152021 - 0919 18h,42.7,-56.6,287.57,-5.0,50,992,90,44.1,-54.1,55,989,70
AL152021 - 0920 00h,44.1,-54.1,288.86,-2.6,55,989,70,45.0,-51.6,55,989,70
AL152021 - 0920 06h,45.0,-51.6,276.38,11.8,55,989,70,44.7,-49.7,50,990,70
AL152021 - 0920 12h,44.7,-49.7,277.44,4.77,50,990,70,44.2,-48.1,50,993,60
AL152021 - 0920 18h,44.2,-48.1,276.33,3.4,50,993,60,43.2,-46.6,50,993,60
AL152021 - 0921 00h,43.2,-46.6,291.71,-4.2,50,993,60,41.8,-45.4,50,995,60
AL152021 - 0921 06h,41.8,-45.4,294.64,-2.7,50,995,60,40.4,-43.8,45,997,60
AL152021 - 0921 12h,40.4,-43.8,275.03,2.1,45,997,60,39.9,-41.9,45,997,60
AL152021 - 0921 18h,39.9,-41.9,286.26,-11.5,45,997,60,40.2,-40.1,45,998,60
AL152021 - 0922 00h,40.2,-40.1,293.74,-3.5,45,998,60,41.3,-39.9,45,999,60
AL152021 - 0922 06h,41.3,-39.9,291.55,-5.0,45,999,60,42.4,-40.2,45,999,60
AL152021 - 0922 12h,42.4,-40.2,279.39,8.4,45,999,60,43.5,-40.8,40,1000,60
AL152021 - 0922 18h,43.5,-40.8,293.49,1.5,40,1000,60,44.1,-41.2,40,1000,60
AL152021 - 0923 00h,44.1,-41.2,288.12,-6.2,40,1000,60,44.2,-41.8,40,1000,60
AL152021 - 0923 06h,44.2,-41.8,281.89,12.5,40,1000,60,44.1,-42.4,40,1000,60
AL152021 - 0923 12h,44.1,-42.4,281.89,12.5,40,1000,60,43.8,-42.0,35,1000,60
AL152021 - 0923 18h,43.8,-42.0,281.89,12.5,35,1000,60,44.1,-41.4,35,1001,60
AL152021 - 0924 00h,44.1,-41.4,281.37,-1.87,35,1001,60,44.1,-41.0,35,1001,60
AL152021 - 0924 06h,44.1,-41.0,281.37,-1.87,35,1001,60,43.6,-40.5,35,1002,60
AL152021 - 0924 12h,43.6,-40.5,281.39,-1.65,35,1002,60,42.7,-40.0,35,1003,60
AL152021 - 0924 18h,42.7,-40.0,281.53,-1.8,35,1003,60,41.6,-39.4,35,1004,60
AL152021 - 0925 00h,41.6,-39.4,289.4,-5.8,35,1004,60,40.3,-38.7,35,1005,60
AL152021 - 0925 06h,40.3,-38.7,282.57,12.1,35,1005,60,38.9,-38.0,35,1006,60
AL152021 - 0925 12h,38.9,-38.0,296.6,-0.1,35,1006,60,37.3,-38.1,35,1007,60
AL152021 - 0925 18h,37.3,-38.1,284.82,12.1,35,1007,60,35.8,-38.6,35,1008,60
AL152021 - 0926 00h,35.8,-38.6,293.4,-4.8,35,1008,60,34.4,-39.5,30,1009,60
AL152021 - 0926 06h,34.4,-39.5,299.21,-0.5,30,1009,60,32.9,-40.5,30,1010,60
AL152021 - 0926 12h,32.9,-40.5,298.7,-0.8,30,1010,60,31.5,-41.4,30,1010,60
AL162021 - 0919 00h,16.4,-52.7,301.86,0.2,30,1007,40,16.8,-54.4,35,1006,40
AL162021 - 0919 06h,16.8,-54.4,301.27,-3.24,35,1006,40,17.3,-55.8,40,1006,40
AL162021 - 0919 12h,17.3,-55.8,298.27,-0.3,40,1006,40,17.9,-57.0,45,1005,50
AL162021 - 0919 18h,17.9,-57.0,294.92,-0.08,45,1005,50,18.4,-58.0,45,1005,50
AL162021 - 0920 00h,18.4,-58.0,296.56,-5.3,45,1005,50,18.8,-59.0,45,1005,60
AL162021 - 0920 06h,18.8,-59.0,295.43,-6.4,45,1005,60,19.2,-60.1,45,1006,60
AL162021 - 0920 12h,19.2,-60.1,295.53,-6.5,45,1006,60,19.5,-61.2,45,1007,60
AL162021 - 0920 18h,19.5,-61.2,295.79,-6.4,45,1007,60,19.6,-62.3,45,1007,60
AL162021 - 0921 00h,19.6,-62.3,291.3,-6.4,45,1007,60,19.6,-63.2,40,1007,60
AL162021 - 0921 06h,19.6,-63.2,293.94,-6.4,40,1007,60,19.8,-64.0,35,1008,60
AL162021 - 0921 12h,19.8,-64.0,294.16,-6.4,35,1008,60,20.2,-64.6,30,1008,70
AL162021 - 0921 18h,20.2,-64.6,294.07,-6.4,30,1008,70,20.6,-65.2,30,1008,70
AL162021 - 0922 00h,20.6,-65.2,301.0,-1.0,30,1008,70,21.0,-65.8,30,1008,70
AL162021 - 0922 06h,21.0,-65.8,290.02,-11.9,30,1008,70,21.4,-66.4,30,1008,70
AL162021 - 0922 12h,21.4,-66.4,290.02,-11.9,30,1008,70,21.7,-66.9,30,1008,70
AL172021 - 0919 00h,10.4,-27.4,296.08,-5.6,30,1008,30,11.3,-27.8,30,1008,30
AL172021 - 0919 06h,11.3,-27.8,300.35,-1.0,30,1008,30,12.6,-28.4,30,1008,30
AL172021 - 0919 12h,12.6,-28.4,298.52,-2.8,30,1008,30,13.8,-29.4,35,1007,25
AL172021 - 0919 18h,13.8,-29.4,297.34,-4.66,35,1007,25,14.7,-30.6,35,1007,25
